area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Marikina,1 BHK,Prityel,350,1,1,931500
Super built-up  Area,19-Dec,Antipolo,1 BHK,Mahosya,530,1,1,931500
Super built-up  Area,Ready To Move,Manila,2 BHK,GrrvaGr,675,2,2,931500
Super built-up  Area,18-Dec,Himamaylan,1 BHK,Kantsce,590,1,0,936330
Super built-up  Area,18-Aug,Iriga,1 BHK,PrarePa,630,1,0,956340
Plot  Area,Ready To Move,Masbate,1 Bedroom,,400,1,0,966000
Super built-up  Area,18-Jun,Valenzuela,1 BHK,Dieldli,500,1,1,966000
Built-up  Area,Ready To Move,Cauayan,1 BHK,,400,1,1,966000
Super built-up  Area,18-Jun,Tangub,1 BHK,,500,2,2,966000
Built-up  Area,Ready To Move,Surigao,1 BHK,Gentson,400,1,0,966000
Super built-up  Area,18-Aug,Zamboanga City,1 BHK,Soini T,500,1,1,966000
Super built-up  Area,Ready To Move,Oroquieta,1 BHK,Ceove G,1200,1,1,966000
Super built-up  Area,Ready To Move,Mabalacat,1 BHK,,1000,1,0,966000
Super built-up  Area,18-Jun,San Pablo,1 BHK,Soazak ,500,1,1,966000
Super built-up  Area,19-Sep,San Jose,1 BHK,,520,1,1,968760
Super built-up  Area,19-Sep,Batac,1 BHK,LancyRe,520,1,1,968760
Super built-up  Area,18-Aug,Malolos,1 BHK,Goted U,520,1,1,968760
Built-up  Area,Ready To Move,Naga,1 BHK,,600,1,1,1035000
Super built-up  Area,Ready To Move,Laoag,2 BHK,,460,1,0,1035000
Super built-up  Area,Ready To Move,Cadiz,1 BHK,Bhncyis,485,1,1,1035000
Super built-up  Area,Ready To Move,Victorias,2 BHK,Rosha I,550,1,1,1035000
Super built-up  Area,Ready To Move,Tabaco,2 BHK,Suent V,550,1,1,1035000
Super built-up  Area,Ready To Move,Malaybalay,2 BHK,RothaVa,660,1,1,1035000
Super built-up  Area,Ready To Move,Cagayan de Oro,1 BHK,NCowsar,500,1,1,1035000
Built-up  Area,18-Apr,Kidapawan,2 BHK,Dhalsh ,1100,1,1,1035000
Super built-up  Area,Ready To Move,Malabon,2 BHK,BrereAt,675,1,1,1035000
Built-up  Area,Ready To Move,Escalante,2 BHK,PeBayle,550,1,1,1035000
Super built-up  Area,Ready To Move,Iligan,1 BHK,,425,1,1,1035000
Super built-up  Area,Ready To Move,Tagum,1 BHK,,450,1,1,1035000
Super built-up  Area,Ready To Move,Koronadal,1 BHK,,410,1,1,1035000
Built-up  Area,Ready To Move,Tagbilaran,2 BHK,Laavevi,565,2,1,1035000
Super built-up  Area,Ready To Move,Angeles,1 BHK,Chranya,456,1,1,1035000
Built-up  Area,Ready To Move,Meycauayan,1 BHK,HioraTr,410,1,1,1035000
Built-up  Area,Ready To Move,Palayan,1 BHK,,520,1,1,1035000
Super built-up  Area,18-Jun,Lapu-Lapu,1 BHK,,520 - 645,1,0,1044315
Super built-up  Area,Ready To Move,Tagaytay,2 BHK,BMineis,660,1,1,1069500
Built-up  Area,Ready To Move,Isabela,2 BHK,,550,1,1,1104000
Super built-up  Area,Ready To Move,La Carlota,2 BHK,,710,2,2,1104000
Built-up  Area,Ready To Move,Ilagan,1 RK,,351,1,1,1104000
Super built-up  Area,Ready To Move,Davao City,2 BHK,,660,1,1,1104000
Super built-up  Area,Ready To Move,Candon,1 BHK,Pruthg ,550,1,1,1104000
Built-up  Area,Ready To Move,Baguio,1 BHK,Sonosty,650,1,0,1104000
Built-up  Area,Ready To Move,Guihulngan,1 BHK,SNnia E,450,1,0,1104000
Super built-up  Area,Ready To Move,Valencia,1 BHK,Anavi B,500,1,1,1104000
Super built-up  Area,Ready To Move,Cebu City,1 BHK,,550,1,1,1104000
Super built-up  Area,Ready To Move,Cavite City,2 BHK,,550,1,1,1104000
Super built-up  Area,Ready To Move,Bayugan,2 BHK,Viony H,550,2,1,1104000
Super built-up  Area,18-Aug,General Santos,1 BHK,,645,1,1,1135050
Super built-up  Area,18-Sep,Taguig,1 BHK,,645,1,1,1135050
Super built-up  Area,18-Aug,Batangas,1 BHK,AdentEl,645,1,1,1135050
Super built-up  Area,18-Jul,Mandaluyong,1 BHK,Gollela,645,1,1,1135050
Super built-up  Area,18-Jul,Kabankalan,1 BHK,Niareum,645,1,1,1135050
Super built-up  Area,18-Sep,Bislig,1 BHK,,645,1,1,1135050
Super built-up  Area,18-Sep,El Salvador,1 BHK,SJlynro,645,1,1,1135050
Super built-up  Area,18-Sep,Santa Rosa,1 BHK,,645,1,1,1135050
Super built-up  Area,18-Sep,Tanjay,1 BHK,,645,1,1,1135050
Super built-up  Area,18-Aug,Ligao,1 BHK,Tavenew,645,1,1,1135050
Super built-up  Area,18-Jul,Olongapo,1 BHK,Srire S,645,1,1,1135050
Super built-up  Area,Ready To Move,Bayawan,2 BHK,,880,1,1,1138500
Super built-up  Area,Ready To Move,Pasig,1 BHK,Saenti ,440,1,1,1138500
Super built-up  Area,Ready To Move,San Pedro,1 BHK,,600,1,1,1138500
Plot  Area,Ready To Move,Tarlac City,1 Bedroom,,540,1,1,1138500
Plot  Area,Immediate Possession,Tacurong,,,1453,,,1138500
Super built-up  Area,Ready To Move,Bogo,2 BHK,Bhmesy ,660,1,1,1138500
Built-up  Area,Ready To Move,Naga,2 BHK,,560,2,1,1145400
Built-up  Area,Ready To Move,Calapan,1 BHK,Goardth,550,1,1,1155750
Built-up  Area,Ready To Move,Balanga,1 BHK,,575,1,1,1155750
Super built-up  Area,Ready To Move,San Fernando,1 RK,,360,1,0,1166100
Built-up  Area,Ready To Move,Butuan,2 BHK,,650,1,1,1173000
Super built-up  Area,Ready To Move,Makati,1 BHK,IBityin,686,1,1,1173000
Super built-up  Area,Ready To Move,Panabo,1 BHK,KHityry,500,1,1,1173000
Built-up  Area,Ready To Move,Silay,1 BHK,BDensar,600,1,1,1173000
Built-up  Area,Ready To Move,San Carlos,1 BHK,Makeser,420,1,1,1173000
Super built-up  Area,Ready To Move,Danao,1 BHK,Maest N,550,1,1,1173000
Built-up  Area,Ready To Move,Trece Martires,1 BHK,,500,1,1,1173000
Super built-up  Area,Ready To Move,Alaminos,2 BHK,,497,1,1,1173000
Built-up  Area,Ready To Move,Tandag,1 BHK,Brway G,650,1,1,1173000
Super built-up  Area,Ready To Move,Bacolod,1 BHK,,418,1,1,1173000
Super built-up  Area,Ready To Move,Catbalogan,1 BHK,Oznuean,550,1,1,1173000
Super built-up  Area,Ready To Move,Legazpi,1 BHK,,633,1,1,1179210
Super built-up  Area,19-Dec,Gingoog,1 BHK,Reeroce,416,1,1,1186110
Built-up  Area,Ready To Move,Sorsogon City,1 BHK,Sonviik,651,1,1,1207500
Built-up  Area,Ready To Move,Tabuk,1 BHK,DSgmax ,500,1,1,1207500
Super built-up  Area,Ready To Move,Vigan,1 BHK,,633 - 666,1,0,1209915
Super built-up  Area,19-Jul,Roxas,1 BHK,Cetattu,580 - 650,1,0,1230615
Super built-up  Area,19-Oct,Lamitan,1 BHK,Vaens G,530,1,1,1242000
Super built-up  Area,Ready To Move,Gapan,1 BHK,,960,2,1,1242000
Built-up  Area,Ready To Move,Lucena,3 BHK,,880,2,1,1242000
Super built-up  Area,Ready To Move,Dumaguete,2 BHK,,660,1,1,1242000
Built-up  Area,Ready To Move,Passi,1 BHK,Moity S,450,1,1,1242000
Super built-up  Area,18-Mar,Samal,1 BHK,HiahsLa,600,1,0,1242000
Super built-up  Area,18-Nov,Calbayog,1 BHK,SNontle,416,1,1,1242000
Super built-up  Area,Ready To Move,Calamba,1 BHK,,500,1,1,1242000
Carpet  Area,Ready To Move,Ozamiz,1 BHK,Sabixtt,45.06Sq. Meter,2,1,1242000
Built-up  Area,Ready To Move,Tuguegarao,2 BHK,,633,1,1,1242000
Built-up  Area,Ready To Move,General Trias,2 BHK,Sragei ,660,1,0,1242000
Super built-up  Area,Ready To Move,Navotas,1 BHK,,650,1,1,1242000
Super built-up  Area,Ready To Move,Mandaue,1 BHK,SyidaCr,530,1,1,1242000
Super built-up  Area,Ready To Move,Talisay,1 BHK,,650 - 665,1,0,1270290
Built-up  Area,Ready To Move,San Carlos,1 BHK,Jahts H,500,1,1,1276500
Super built-up  Area,Ready To Move,Maasin,1 BHK,Inensba,34.46Sq. Meter,1,0,1276500
Super built-up  Area,18-Jul,Pasay,1 BHK,Itelaa ,416,1,1,1276500
Built-up  Area,Ready To Move,San Jose del Monte,2 BHK,,850,1,1,1276500
Super built-up  Area,Ready To Move,Cabanatuan,2 BHK,Srier P,750,1,1,1276500
Super built-up  Area,18-Apr,Tayabas,1 BHK,Wiowsri,610,1,1,1276500
Super built-up  Area,Ready To Move,Lipa,2 BHK,Derdsig,700,1,1,1311000
Super built-up  Area,18-Apr,Tacloban,1 BHK,Vaarech,625,1,1,1311000
Super built-up  Area,Ready To Move,Marawi,1 BHK,,560,1,0,1311000
Super built-up  Area,Ready To Move,Bais,1 BHK,TiaksAa,1000,1,1,1311000
Super built-up  Area,Ready To Move,Cabuyao,2 BHK,,880,2,1,1311000
Super built-up  Area,19-Dec,Bacoor,2 BHK,LedorSa,770 - 841,2,0,1333770
Built-up  Area,Ready To Move,Cotabato City,2 BHK,HMwerCo,700,1,0,1338600
Super built-up  Area,Ready To Move,San Juan,1 BHK,,520,1,0,1345500
Super built-up  Area,Ready To Move,Talisay,1 BHK,ViensRK,1500,1,1,1345500
Super built-up  Area,19-Aug,Sipalay,1 BHK,,416,1,1,1345500
Built-up  Area,Ready To Move,Santiago,1 RK,Somumys,435,1,1,1345500
Built-up  Area,Ready To Move,Carcar,1 BHK,HoiewLa,600,1,1,1345500
Plot  Area,Ready To Move,Quezon City,1 Bedroom,Dwity T,1075,1,0,1345500
Built-up  Area,Ready To Move,Canlaon,1 BHK,,485,1,1,1345500
Built-up  Area,Ready To Move,Dapitan,2 BHK,Brama P,750,2,1,1345500
Super built-up  Area,Ready To Move,Santo Tomas,1 BHK,VBownre,782,1,0,1348950
Super built-up  Area,19-Dec,Dipolog,1 BHK,,534,1,1,1355850
Carpet  Area,20-Dec,Muntinlupa,1 BHK,Betatsi,381 - 535,1,0,1358955
Super built-up  Area,18-May,San Fernando,1 RK,Prcan P,385 - 440,1,0,1366200
Super built-up  Area,18-Jun,Imus,1 BHK,Sryalan,734,1,0,1367580
Super built-up  Area,20-Dec,Ormoc,1 BHK,,540 - 740,1,0,1368270
Super built-up  Area,Ready To Move,Urdaneta,1 BHK,Soitya ,650,1,2,1371030
Super built-up  Area,18-Dec,Dagupan,2 BHK,G conTh,674,1,1,1373100
Super built-up  Area,19-Nov,Puerto Princesa,2 BHK,,674,1,1,1373100
Super built-up  Area,18-Dec,Caloocan,2 BHK,,674,1,1,1373100
Super built-up  Area,18-Nov,Digos,2 BHK,SStusan,850,1,1,1373100
Super built-up  Area,18-Dec,Bago,2 BHK,ETens G,674,1,1,1373100
Super built-up  Area,18-Dec,Borongan,2 BHK,,674,1,1,1373100
Super built-up  Area,Ready To Move,Mati,2 BHK,Hohnari,800,1,1,1380000
Built-up  Area,Ready To Move,Tanauan,1 BHK,Kinuerg,530,1,1,1380000
Plot  Area,Ready To Move,Iloilo City,1 Bedroom,Naods W,1200,1,0,1380000
Super built-up  Area,Ready To Move,Cabadbaran,1 BHK,GMown E,500,1,1,1380000
Built-up  Area,Ready To Move,Pagadian,1 BHK,GMown E,500,1,0,1380000
Super built-up  Area,Ready To Move,Sagay,1 BHK,Sancyra,650,1,1,1380000
Carpet  Area,Ready To Move,Toledo,1 BHK,,300,1,1,1380000
Built-up  Area,Ready To Move,Baybay,1 BHK,Jae 1hu,600,1,0,1380000
Super built-up  Area,Ready To Move,Marikina,2 BHK,Prarkun,650,1,1,1380000
Super built-up  Area,Ready To Move,Antipolo,1 BHK,GMown E,500,1,1,1380000
Super built-up  Area,Ready To Move,Manila,2 BHK,Srshq T,535,1,1,1380000
Super built-up  Area,Ready To Move,Himamaylan,2 BHK,,1200,2,1,1380000
Super built-up  Area,Ready To Move,Iriga,1 BHK,,450,1,1,1380000
Super built-up  Area,Ready To Move,Masbate,2 BHK,,497,1,1,1380000
Plot  Area,Ready To Move,Valenzuela,1 Bedroom,Utntspa,600,1,0,1380000
Built-up  Area,Ready To Move,Cauayan,2 BHK,GMown E,750,2,0,1380000
Built-up  Area,Ready To Move,Tangub,1 BHK,Aniona ,488,1,1,1380000
Super built-up  Area,Ready To Move,Surigao,2 BHK,Goateds,550,1,1,1380000
Super built-up  Area,19-Jan,Zamboanga City,1 BHK,Soitya ,509,1,1,1380000
Built-up  Area,Ready To Move,Oroquieta,1 BHK,Saahaat,450,1,1,1380000
Super built-up  Area,Ready To Move,Mabalacat,2 BHK,GMown E,497,1,1,1380000
Super built-up  Area,Ready To Move,San Pablo,1 BHK,,450,1,1,1380000
Super built-up  Area,Ready To Move,San Jose,2 BHK,,500,1,1,1380000
Built-up  Area,Ready To Move,Batac,1 BHK,GMown E,425,1,0,1382070
Built-up  Area,Ready To Move,Malolos,1 BHK,MCvarar,640,1,1,1414500
Super built-up  Area,Ready To Move,Naga,1 BHK,VRave E,674,1,1,1449000
Super built-up  Area,Ready To Move,Laoag,1 BHK,,460,1,1,1449000
Super built-up  Area,Ready To Move,Cadiz,1 BHK,MaidoPl,550,1,0,1449000
Built-up  Area,Ready To Move,Victorias,1 BHK,,810,1,0,1449000
Super built-up  Area,Ready To Move,Tabaco,1 BHK,,585,1,1,1449000
Super built-up  Area,Ready To Move,Malaybalay,1 BHK,Aiitya ,435,1,1,1449000
Built-up  Area,Ready To Move,Cagayan de Oro,1 BHK,PuziaVe,560,1,1,1449000
Built-up  Area,Ready To Move,Kidapawan,1 BHK,,470,1,1,1449000
Super built-up  Area,Ready To Move,Malabon,2 BHK,,680,1,1,1449000
Super built-up  Area,Ready To Move,Escalante,1 BHK,NRosete,760,1,2,1468320
Built-up  Area,Ready To Move,Iligan,1 BHK,,700,1,1,1483500
Super built-up  Area,21-Dec,Tagum,1 BHK,,525,,,1485570
Built-up  Area,Ready To Move,Koronadal,2 BHK,,460,1,0,1518000
Super built-up  Area,Ready To Move,Tagbilaran,2 BHK,Sancya ,656,2,1,1518000
Super built-up  Area,Ready To Move,Angeles,1 BHK,,600,1,1,1518000
Super built-up  Area,Ready To Move,Meycauayan,2 BHK,MSingco,620,2,1,1518000
Super built-up  Area,18-Dec,Palayan,2 BHK,Pyikad ,750,2,2,1518000
Super built-up  Area,Ready To Move,Lapu-Lapu,2 BHK,CaIRSCr,1000,2,2,1518000
Built-up  Area,Ready To Move,Tagaytay,2 BHK,Prcesvy,620,2,1,1518000
Super built-up  Area,Ready To Move,Isabela,2 BHK,,635,1,1,1518000
Super built-up  Area,Ready To Move,La Carlota,1 BHK,,654,1,1,1518000
Built-up  Area,Ready To Move,Ilagan,2 BHK,,600,1,1,1518000
Built-up  Area,Ready To Move,Davao City,2 BHK,Emstael,596,2,1,1518000
Super built-up  Area,Ready To Move,Candon,1 BHK,,435,1,1,1518000
Built-up  Area,Ready To Move,Baguio,2 BHK,SNdri N,734,2,1,1518000
Super built-up  Area,Ready To Move,Guihulngan,1 BHK,HodhiSa,605,1,1,1518000
Built-up  Area,Ready To Move,Valencia,2 BHK,Syonyph,560,2,1,1518000
Plot  Area,Ready To Move,Cebu City,1 Bedroom,,540,1,0,1518000
Built-up  Area,Ready To Move,Cavite City,2 BHK,Itvir M,740,1,1,1518000
Super built-up  Area,Ready To Move,Bayugan,1 BHK,,510,1,1,1518000
Super built-up  Area,19-Aug,General Santos,2 BHK,Klark L,805,2,1,1527660
Super built-up  Area,Ready To Move,Taguig,2 BHK,Klark L,545,2,1,1541460
Built-up  Area,Ready To Move,Batangas,1 BHK,Piityra,532,1,1,1551810
Super built-up  Area,18-Jun,Mandaluyong,2 BHK,,900,2,2,1552500
Super built-up  Area,18-Aug,Kabankalan,2 BHK,AsastDe,900,2,2,1552500
Super built-up  Area,19-Aug,Bislig,1 BHK,Jurdsig,540,1,1,1552500
Super built-up  Area,Ready To Move,El Salvador,1 BHK,MacleK ,540,1,1,1552500
Super built-up  Area,19-Aug,Santa Rosa,2 BHK,Brnia G,829,2,1,1573200
Super built-up  Area,19-Aug,Tanjay,2 BHK,,829,2,1,1573200
Super built-up  Area,19-Aug,Ligao,2 BHK,,829,2,1,1573200
Super built-up  Area,Ready To Move,Olongapo,1 BHK,,600,1,1,1573200
Super built-up  Area,19-Dec,Bayawan,1 RK,PrityTr,296,1,0,1579410
Plot  Area,Ready To Move,Pasig,2 Bedroom,AlEcone,276,3,3,1587000
Built-up  Area,Ready To Move,San Pedro,2 BHK,Laowsba,600,2,1,1587000
Super built-up  Area,Ready To Move,Tarlac City,1 BHK,Saave R,650,1,1,1587000
Super built-up  Area,Ready To Move,Tacurong,2 BHK,Anave S,620,2,1,1587000
Plot  Area,Ready To Move,Bogo,1 Bedroom,,45,1,0,1587000
Super built-up  Area,Ready To Move,Naga,1 BHK,,550,1,1,1587000
Super built-up  Area,Ready To Move,Calapan,1 BHK,Saityat,600,2,0,1587000
Super built-up  Area,Ready To Move,Balanga,1 BHK,,660,1,1,1587000
Super built-up  Area,Ready To Move,San Fernando,2 BHK,,660,1,1,1587000
Super built-up  Area,Ready To Move,Butuan,2 BHK,SunceEs,620,2,1,1587000
Super built-up  Area,18-Nov,Makati,1 BHK,,509,1,1,1587000
Super built-up  Area,Ready To Move,Panabo,2 BHK,SunceEs,660,1,1,1593900
Super built-up  Area,Ready To Move,Silay,2 BHK,SJcerpe,1018,2,0,1618050
Super built-up  Area,Ready To Move,San Carlos,1 BHK,Supams ,552,1,1,1621500
Built-up  Area,Ready To Move,Danao,2 BHK,,620,1,1,1621500
Built-up  Area,Ready To Move,Trece Martires,1 BHK,CoapeSo,420,1,1,1621500
Super built-up  Area,Ready To Move,Alaminos,1 BHK,Bisic C,740,1,1,1631850
Super built-up  Area,Ready To Move,Tandag,1 BHK,Sreat R,628,1,1,1656000
Super built-up  Area,Ready To Move,Bacolod,2 BHK,Inntsa ,870,2,1,1656000
Super built-up  Area,Ready To Move,Catbalogan,2 BHK,KHityry,820,2,2,1656000
Built-up  Area,Ready To Move,Legazpi,1 BHK,,500,1,0,1656000
Built-up  Area,Ready To Move,Gingoog,1 BHK,BriumMi,615,1,1,1656000
Super built-up  Area,Ready To Move,Sorsogon City,1 BHK,,500,2,1,1656000
Super built-up  Area,18-Aug,Tabuk,2 BHK,,625,2,1,1656000
Built-up  Area,Ready To Move,Vigan,2 BHK,,900,2,1,1656000
Built-up  Area,Ready To Move,Roxas,2 BHK,,870,2,2,1656000
Super built-up  Area,Ready To Move,Lamitan,1 BHK,Prarkun,540,1,2,1656000
Plot  Area,Ready To Move,Gapan,1 Bedroom,,600,1,0,1656000
Super built-up  Area,18-Apr,Lucena,2 BHK,Calyxy ,810,2,2,1690500
Plot  Area,Ready To Move,Dumaguete,4 Bedroom,Thessrm,740,2,1,1690500
Super built-up  Area,18-May,Passi,2 BHK,JJortom,982,2,2,1693950
Super built-up  Area,18-May,Samal,2 BHK,GrrvaGr,992,2,2,1711200
Super built-up  Area,18-Aug,Calbayog,2 BHK,PrityTr,975,2,1,1715340
Super built-up  Area,18-Aug,Calamba,2 BHK,Usquaya,975,2,1,1715340
Super built-up  Area,18-May,Ozamiz,2 BHK,Natic T,975,2,1,1715340
Super built-up  Area,18-Aug,Tuguegarao,2 BHK,,975,2,1,1715340
Super built-up  Area,Ready To Move,General Trias,2 BHK,DSapeSk,995,1,1,1716720
Super built-up  Area,Ready To Move,Navotas,1 BHK,Jahtsa ,760,1,1,1718100
Super built-up  Area,Ready To Move,Mandaue,2 BHK,Prillot,996,2,1,1718100
Super built-up  Area,20-Apr,Talisay,2 BHK,,891,2,1,1721550
Built-up  Area,Ready To Move,San Carlos,2 BHK,Sodgere,1000,2,1,1725000
Super built-up  Area,18-Jul,Maasin,2 BHK,,1000,2,1,1725000
Built-up  Area,Ready To Move,Pasay,2 BHK,,656,2,1,1725000
Built-up  Area,Ready To Move,San Jose del Monte,2 BHK,,891,2,1,1725000
Super built-up  Area,Ready To Move,Cabanatuan,1 BHK,SoitaCa,469,1,0,1725000
Super built-up  Area,Ready To Move,Tayabas,1 BHK,Soestin,500,1,1,1725000
Super built-up  Area,Ready To Move,Lipa,2 BHK,Sreat R,850,2,1,1725000
Super built-up  Area,18-Jun,Tacloban,2 BHK,Alestrb,1072,2,1,1725000
Super built-up  Area,Ready To Move,Marawi,1 BHK,DLhtsen,581.91,2,1,1725000
Super built-up  Area,Ready To Move,Bais,1 BHK,Mauner ,750,1,2,1725000
Built-up  Area,Ready To Move,Cabuyao,2 BHK,Brnia G,750,2,1,1725000
Built-up  Area,Ready To Move,Bacoor,1 BHK,,515,1,1,1725000
Plot  Area,Ready To Move,Cotabato City,4 Bedroom,GaicaVe,2000,3,2,1725000
Super built-up  Area,18-Aug,San Juan,2 BHK,,925,2,1,1725000
Super built-up  Area,Ready To Move,Talisay,2 BHK,Saesttt,780,2,2,1725000
Super built-up  Area,21-Dec,Sipalay,1 BHK,Nae 2El,525,1,1,1725000
Super built-up  Area,Ready To Move,Santiago,2 BHK,,1000,2,3,1725000
Super built-up  Area,Ready To Move,Carcar,2 BHK,Bhinglv,620,1,1,1725000
Super built-up  Area,Ready To Move,Quezon City,2 BHK,SunceEs,930,2,0,1725000
Super built-up  Area,Ready To Move,Canlaon,1 BHK,GolusLi,650,1,1,1725000
Super built-up  Area,Ready To Move,Dapitan,1 BHK,,450,1,1,1725000
Built-up  Area,Ready To Move,Santo Tomas,1 BHK,Coush W,502,1,1,1725000
Super built-up  Area,Ready To Move,Dipolog,2 BHK,Prersis,710,2,0,1725000
Super built-up  Area,Ready To Move,Muntinlupa,2 BHK,NaensGa,695,1,1,1725000
Super built-up  Area,Ready To Move,San Fernando,2 BHK,Arzzo P,850,1,1,1725000
Super built-up  Area,Ready To Move,Imus,2 BHK,,600,1,2,1725000
Super built-up  Area,Ready To Move,Ormoc,2 BHK,SMikaay,1210,2,2,1725000
Built-up  Area,Ready To Move,Urdaneta,1 BHK,Prave E,480,1,1,1725000
Super built-up  Area,Ready To Move,Dagupan,2 BHK,,800,2,1,1725000
Super built-up  Area,Ready To Move,Puerto Princesa,1 BHK,Ahriaup,400,2,1,1725000
Super built-up  Area,17-Sep,Caloocan,2 BHK,Priewhi,900,1,1,1725000
Super built-up  Area,Ready To Move,Digos,2 BHK,Shodsth,656,2,1,1725000
Super built-up  Area,Ready To Move,Bago,2 BHK,Swadeh ,497,1,1,1725000
Super built-up  Area,18-May,Borongan,2 BHK,Somumys,982,2,1,1725000
Super built-up  Area,19-Oct,Mati,1 BHK,Soran U,620,1,1,1725000
Super built-up  Area,18-Aug,Tanauan,2 BHK,PrarePa,1000,2,3,1725000
Super built-up  Area,Ready To Move,Iloilo City,2 BHK,Puestig,902,2,2,1725000
Super built-up  Area,Ready To Move,Cabadbaran,2 BHK,Prntsrt,980,2,1,1725000
Super built-up  Area,Ready To Move,Pagadian,2 BHK,Maerar ,420,1,1,1725000
Super built-up  Area,Ready To Move,Sagay,2 BHK,Vaesh T,777.4,2,0,1725000
Super built-up  Area,Ready To Move,Toledo,1 BHK,MaisePa,400,1,1,1725000
Built-up  Area,Ready To Move,Baybay,2 BHK,,900,2,0,1725000
Super built-up  Area,Ready To Move,Marikina,2 BHK,JRrnauv,302,2,1,1725000
Super built-up  Area,Ready To Move,Antipolo,2 BHK,,656,2,1,1725000
Built-up  Area,Ready To Move,Manila,1 BHK,,567,1,1,1725000
Super built-up  Area,18-Jan,Himamaylan,2 BHK,,625,1,1,1725000
Built-up  Area,Ready To Move,Iriga,2 BHK,Gotis A,950,2,1,1725000
Super built-up  Area,18-Sep,Masbate,2 BHK,,985,2,1,1733280
Super built-up  Area,18-Sep,Valenzuela,2 BHK,Puodse ,985,2,1,1733280
Super built-up  Area,18-Aug,Cauayan,2 BHK,Mileeou,985,2,1,1733280
Super built-up  Area,18-Nov,Tangub,1 RK,Prarkun,510,1,0,1742250
Super built-up  Area,21-Nov,Surigao,1 RK,,510,1,1,1742250
Super built-up  Area,Ready To Move,Zamboanga City,2 BHK,,902,2,1,1742940
Super built-up  Area,19-Feb,Oroquieta,2 BHK,PhestOn,598 - 958,2,0,1745010
Super built-up  Area,Ready To Move,Mabalacat,2 BHK,,940,2,1,1751220
Super built-up  Area,18-Dec,San Pablo,2 BHK,NRowse ,850,2,1,1752600
Super built-up  Area,19-Nov,San Jose,2 BHK,,849,2,1,1752600
Super built-up  Area,18-Dec,Batac,2 BHK,Abncy R,850,2,1,1752600
Super built-up  Area,18-Dec,Malolos,2 BHK,Baowsig,849,2,2,1752600
Super built-up  Area,18-Dec,Naga,2 BHK,Itala A,850,2,1,1752600
Super built-up  Area,18-Dec,Laoag,2 BHK,,850,2,1,1752600
Plot  Area,Immediate Possession,Cadiz,,,1500,,,1758810
Super built-up  Area,Ready To Move,Victorias,1 BHK,HMinebo,750,1,1,1759500
Built-up  Area,Ready To Move,Tabaco,2 BHK,K borja,810,2,1,1759500
Super built-up  Area,Ready To Move,Malaybalay,1 BHK,Oreldhi,700,1,1,1759500
